Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bina Kat Sayısı,Kullanım Durumu,Krediye Uygunluk,Kira Getirisi,Eşya Durumu,Fiyat Bilgisi,İlan Link
100 M2,2+1,16-20,3,Kiracı Oturuyor,Krediye Uygun,,,"3,700,000",https://www.emlakjet.com/ilan/atilla-ozdemir-den-20-yillik-21-yuksek-giris-arakat-on-kapali-ve-acik-garajli-asansorlu-balkonlu-13406389/
700 M2,5+2,0 (Yeni),3,Boş,Krediye Uygun,,Boş,"33,250,000",https://www.emlakjet.com/ilan/mavi-ladin-sitesi-full-yapili-havuzlu-luks-villa-13453891/
180 M2,4+1,16-20,13,Mülk Sahibi Oturuyor,Krediye Uygun,,Boş,"5,375,000",https://www.emlakjet.com/ilan/besa-atasehir-evlerinde-manzarali-41-satilik-daire-13454289/
190 M2,3+1,16-20,5,Mülk Sahibi Oturuyor,Krediye Uygun,,,"4,650,000",https://www.emlakjet.com/ilan/gaziosmanpasa-kuleli-de-2-51-bahce-teras-li-dublex-lux-satilik-daire-13454660/
180 M2,4+1,16-20,12,Boş,Krediye Uygun,,,"7,500,000",https://www.emlakjet.com/ilan/gaziosmanpasa-mesa-koza-plaza-da-41-satilik-lux-daire-13454665/
120 M2,3+1,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Krediye Uygun,,Boş,"2,749,000",https://www.emlakjet.com/ilan/cankaya-da-merkezi-konum-120-m2-yuksek-giris-daire-13455015/
315 M2,5+1,0 (Yeni),3,Boş,Krediye Uygun,,,"10,900,000",https://www.emlakjet.com/ilan/yasamken-te-super-konumda-natamam-satilik-villa-13453743/
130 M2,3+1,5-10,3,Mülk Sahibi Oturuyor,Krediye Uygun,,,"2,450,000",https://www.emlakjet.com/ilan/asyapidan-cevizliderede-31-130-m2-arakat-2-banyolu-lux-kombili-13456026/
110 M2,3+1,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Krediye Uygun,,Boş,"2,750,000",https://www.emlakjet.com/ilan/emekte-satilik-mantolamali-binada-on-yapili-31-ader-den-13456617/
110 M2,1+1,21 Ve Üzeri,5,Kiracı Oturuyor,Krediye Uygun,7000 TL,Eşyalı,"1,500,000",https://www.emlakjet.com/ilan/kizilayda-11-esyali-jakuzili-klimali-yatirimlik-daire-13456062/
220 M2,3+1,11-15,3,Boş,Krediye Uygun,25000 TL,,"6,650,000",https://www.emlakjet.com/ilan/atilla-ozdemir-den-12-yillik-lux-anitkabir-manzarali-31-net-180m2-terasli-on-cephe-dublex-13452971/
200 M2,4+1,0 (Yeni),3,Boş,Krediye Uygun,,,"6,850,000",https://www.emlakjet.com/ilan/emek-8-cadde-sifir-yeni-bina-satilik-41-dubleks-daire-13456700/
330 M2,4+1,0 (Yeni),2,Boş,Krediye Uygun,,,"13,000,000",https://www.emlakjet.com/ilan/ankara-cankaya-lodumu-330-m-arsa-uzerinde-satilik-41-villa-13452171/
140 M2,3+1,21 Ve Üzeri,3,Boş,Krediye Uygun,15000 TL,Boş,"3,459,000",https://www.emlakjet.com/ilan/taner-dan-panoramik-sehir-manzarali-3-cepheli-genis-luks-yapili-13456767/
130 M2,3+1,5-10,3,Kiracı Oturuyor,Krediye Uygun,,,"2,450,000",https://www.emlakjet.com/ilan/asyapidan-cevizliderede-31-130-m2-cift-banyolu-lux-kombili-13456025/
80 M2,2+1,21 Ve Üzeri,3,Kiracı Oturuyor,Krediye Uygun,,,"2,250,000",https://www.emlakjet.com/ilan/arel-den-anittepe-de-kombili-3-cepheli-genis-terasli-21-13457263/
120 M2,3+1,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Krediye Uygun,15000 TL,Boş,"2,250,000",https://www.emlakjet.com/ilan/akarsu-dan-super-luks-yapili-31-kombili-sinan-cad-paraleli-vadi-yakini-merkezi-konumda-13458710/
71 M2,1+1,5-10,30,Kiracı Oturuyor,Krediye Uygun Değil,,Boş,"2,400,000",https://www.emlakjet.com/ilan/312-west-gate-de-eskisehir-yolu-cepheli-satilik-11-daire-13459946/
125 M2,3+1,21 Ve Üzeri,3,Boş,Krediye Uygun Değil,,Boş,"2,250,000",https://www.emlakjet.com/ilan/cankaya-harbiye-mah-nadir-sokakta-31-yapili-satilik-daire-13460217/
130 M2,3+1,21 Ve Üzeri,3,Boş,Krediye Uygun,13000 TL,Boş,"2,750,000",https://www.emlakjet.com/ilan/taner-den-sokullu-cad-de-ahmet-arif-parki-karsisi-31kiler-luks-13456784/
600 M2,3+1,11-15,1,Boş,Krediye Uygun Değil,,Boş,"1,230,000",https://www.emlakjet.com/ilan/yakupabdalda-600-m-arsa-icerisinde-13460186/
125 M2,3+1,0 (Yeni),5,Boş,Bilinmiyor,,Boş,"3,250,000",https://www.emlakjet.com/ilan/zafertepe-mah-gunes-apt-31-21-41-satilik-daireler-13458180/
55 M2,1+1,0 (Yeni),5,Boş,Krediye Uygun,,Boş,"1,550,000",https://www.emlakjet.com/ilan/bos-sifir-cankaya-dikmen-balkonlu-asansorlu-satilik-11-13460344/
100 M2,3+1,11-15,12,Kiracı Oturuyor,Krediye Uygun,14000 TL,,"3,500,000",https://www.emlakjet.com/ilan/a-group-tan-vadi-3-etap-havuzlu-bag-sitesinde-satilik-arakat-31-100m2-13453592/
145 M2,3+1,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,Krediye Uygun,10000 TL,Boş,"2,249,000",https://www.emlakjet.com/ilan/akarsu-dan-31-kombili-ilker-cd-paraleli-genis-metrajli-cift-balkonlu-merkzi-konumda-13458843/
95 M2,2+1,5-10,5,Kiracı Oturuyor,Krediye Uygun,,,"4,950,000",https://www.emlakjet.com/ilan/arel-den-maltepe-de-yeni-bina-1-kat-on-cphe-a-mutfakli-isi-pay-olcerli-31-13451783/
140 M2,3+1,11-15,3,Boş,Krediye Uygun,,Boş,"2,740,000",https://www.emlakjet.com/ilan/hk-dan-asikpasa-da-cad-yakini-terasli-31-onu-acik-full-yapili-13441023/
