Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bina Kat Sayısı,Kullanım Durumu,Krediye Uygunluk,Kira Getirisi,Eşya Durumu,Fiyat Bilgisi,İlan Link
135 M2,3+1,21 Ve Üzeri,3,Kiracı Oturuyor,,,Boş,"2,750,000",https://www.emlakjet.com/ilan/levent-ten-19-mayis-hastanesi-yakini-31-135m2-bagimsiz-salon-ara-katta-13449909/
160 M2,2+1,5-10,2,Kiracı Oturuyor,,12500 TL,Boş,"3,425,000",https://www.emlakjet.com/ilan/taner-den-dikmen-29-mayis-hastanesi-yani-21-asansorlu-yeni-bina-k-garajli-dubleks-13456669/
125 M2,3+1,21 Ve Üzeri,3,Boş,,7500 TL,Boş,"2,055,000",https://www.emlakjet.com/ilan/levent-ten-29-mayis-hastanesi-yakini-dikmen-cadde-uzerinde-31-125m2-ara-katta-13449972/
100 M2,2+1,21 Ve Üzeri,2,Kiracı Oturuyor,,,Boş,"1,375,000",https://www.emlakjet.com/ilan/levent-ten-sinan-caddesi-uzerinde-21-100m2-giris-kat-kombili-13450050/
115 M2,3+1,21 Ve Üzeri,2,Kiracı Oturuyor,,8000 TL,Boş,"2,140,000",https://www.emlakjet.com/ilan/levent-ten-19-mayis-hastanesi-yakini-31-115m2-bagimsiz-salon-ara-katta-13449936/
130 M2,3+1,21 Ve Üzeri,7,Boş,,15000 TL,Boş,"3,650,000",https://www.emlakjet.com/ilan/akarsu-dan-lizbon-cadde-uzeri-sitede-cift-asansorlu-e-banyolu-31-genis-super-luks-yapili-konut-13450266/
190 M2,4+1,2,16,Kiracı Oturuyor,,,Boş,"5,750,000",https://www.emlakjet.com/ilan/eskisehir-yolu-uzeri-konutkent-mah-akmerkez-sitesi-satilik-41-13441836/
130 M2,3+1,21 Ve Üzeri,3,Boş,,15000 TL,Boş,"2,750,000",https://www.emlakjet.com/ilan/akarsu-dan-dikmende-sokullu-ana-cadde-uzeri-orjinal-bagimsiz-31kilerli-genis-super-luks-yapili-13450247/
120 M2,3+1,21 Ve Üzeri,3,Kiracı Oturuyor,,11000 TL,Boş,"2,529,000",https://www.emlakjet.com/ilan/levent-ten-polisevi-hakimevi-cetinemec-bulvari-yakini-31-120m2-salon-bagimsiz-ara-katta-13447026/
130 M2,3+1,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,15000 TL,Boş,"3,800,000",https://www.emlakjet.com/ilan/levent-ten-oran-ataturk-sitesinde-orman-sehir-manzarali-31-130m2-katta-yapili-13446548/
190 M2,3+2,21 Ve Üzeri,4,Boş,,,Boş,"5,100,000",https://www.emlakjet.com/ilan/cankaya-birlik-mahallesinde-satilik-terasli-dublex-daire-13450429/
130 M2,3+1,16-20,5,Boş,,,Boş,"2,550,000",https://www.emlakjet.com/ilan/cankaya-da-doga-manzarali-super-lokasyonda-31-daire-13438706/
180 M2,4+1,0 (Yeni),4,Boş,,,Boş,"4,800,000",https://www.emlakjet.com/ilan/kucukesat-da-sifir-41-satilik-daire-13450358/
120 M2,2+1,21 Ve Üzeri,4,Boş,,12500 TL,Boş,"2,589,000",https://www.emlakjet.com/ilan/levent-ten-kabil-caddesi-paraleli-21-120m2-amerikan-mutfakli-yuksek-giris-balkonlu-full-yapili-13450567/
100 M2,2+1,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,,10000 TL,Boş,"1,595,000",https://www.emlakjet.com/ilan/levent-ten-29-mayis-hastanesi-yakini-21-100m2-amerikan-mutfakli-bahce-cikisli-full-yapili-13451009/
115 M2,2+1,16-20,4,Boş,,,,"1,495,000",https://www.emlakjet.com/ilan/cologlundan-dikmen-caddesi-yani-asansorlu-ara-kat-konumunda-bagimsiz-21-balkonlu-super-lux-13453505/
150 M2,3+1,21 Ve Üzeri,10,Kiracı Oturuyor,,14000 TL,Boş,"3,575,000",https://www.emlakjet.com/ilan/levent-ten-gunduzler-sitesinde-ilker-1-cadde-yakini-31-150m2-ankara-manzarali-13449881/
80 M2,1+1,21 Ve Üzeri,4,Boş,,,Eşyalı,"1,980,000",https://www.emlakjet.com/ilan/cankaya-baglar-caddesi-samatya-sokakda-yuksek-giris-satilik-11-esyali-daire-13450450/
235 M2,3+1,5-10,11,Mülk Sahibi Oturuyor,,,Eşyalı,"9,750,000",https://www.emlakjet.com/ilan/levent-ten-sinpas-altinoran-da-esyali-buyuk-terasli-emsalsiz-13456391/
135 M2,3+1,0 (Yeni),2,Boş,,15000 TL,Boş,"4,250,000",https://www.emlakjet.com/ilan/levent-ten-sifir-bina-0-69-uygun-sinan-cadde-yakini-312-banyogiyinme-odasi-luks-yapili-asansorlu-13456416/
145 M2,4+1,1,4,Boş,,,Boş,"6,250,000",https://www.emlakjet.com/ilan/cankaya-bahcelievler-2-cadde-yeni-bina-41-terasli-dublex-daire-13450452/
210 M2,4+1,11-15,30,Kiracı Oturuyor,,,,"12,900,000",https://www.emlakjet.com/ilan/oran-parkoran-konut-larinda-41-lux-satilik-daire-13454650/
170 M2,4+1,16-20,3,Kiracı Oturuyor,,,Boş,"3,550,000",https://www.emlakjet.com/ilan/levent-ten-dikmen-vadi-manzarali-papatya-sitesinde-412-banyo-170m2-ara-katta-yapili-13456433/
320 M2,5+1,21 Ve Üzeri,3,Kiracı Oturuyor,,14000 TL,Boş,"3,500,000",https://www.emlakjet.com/ilan/levent-ten-19-mayis-hastanesi-yakini-512-banyo-cift-terasli-dubleks-13456445/
130 M2,3+1,16-20,3,Mülk Sahibi Oturuyor,,12000 TL,Boş,"2,085,000",https://www.emlakjet.com/ilan/levent-ten-ilker-1-cadde-yakini-31-giyinme-odasi-bagimsiz-salon-ara-kat-kombili-full-yapili-13456523/
150 M2,3+1,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,14000 TL,Boş,"2,950,000",https://www.emlakjet.com/ilan/levent-ten-dikmen-caddesi-uzerinde-31kiler-150m2-bagimsiz-salon-full-yapili-katta-13456472/
150 M2,3+1,21 Ve Üzeri,3,Kiracı Oturuyor,,,Boş,"2,950,000",https://www.emlakjet.com/ilan/bahcelievlerde-satilik-3-caddede-on-yapili-31-kombili-ader-den-13456557/
110 M2,3+1,21 Ve Üzeri,3,Kiracı Oturuyor,,,Boş,"2,665,000",https://www.emlakjet.com/ilan/cankaya-ayranci-kuzgunda-31-bahce-kati-satilik-daire-13450421/
115 M2,3+1,16-20,4,Mülk Sahibi Oturuyor,,12500 TL,Boş,"2,355,000",https://www.emlakjet.com/ilan/levent-ten-dikmen-caddesi-yakini-site-icerisinde-31-115m2-katta-asansorlu-13456513/
120 M2,3+1,21 Ve Üzeri,2,Kiracı Oturuyor,,10000 TL,Boş,"1,845,000",https://www.emlakjet.com/ilan/levent-ten-sinan-caddesi-yakini-atakule-manzarali-31-120m2-katta-kombili-13458580/
220 M2,3+1,11-15,2,Mülk Sahibi Oturuyor,,13000 TL,Boş,"2,800,000",https://www.emlakjet.com/ilan/taner-den-dikmen-vadisi-yani-sahane-terasli-31-dubleks-200m2-ici-yapili-13456681/
110 M2,3+1,21 Ve Üzeri,2,Kiracı Oturuyor,,10000 TL,Boş,"1,800,000",https://www.emlakjet.com/ilan/levent-ten-29-mayis-hastanesi-yakini-dikmen-caddesi-paraleli-31-110m2-ara-katta-13459397/
105 M2,2+1,21 Ve Üzeri,2,Boş,,10000 TL,Boş,"1,785,000",https://www.emlakjet.com/ilan/levent-ten-sinan-caddesi-uzerinde-yildiz-baglanti-koprusu-yani-21-105m2-bagimsiz-salon-full-yapili-13459721/
115 M2,3+1,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,12000 TL,Boş,"1,945,000",https://www.emlakjet.com/ilan/levent-ten-dikmen-ovecler-2-cadde-uzeri-31-amerikan-mutfakli-115m2-full-yapili-13457801/
,,,,,,,,,https://www.emlakjet.com/satilik-konut/?deleted=true
120 M2,3+1,21 Ve Üzeri,3,Kiracı Oturuyor,,,Boş,"2,875,000",https://www.emlakjet.com/ilan/bahcelievlerde-satilik-7-cadde-yakini-luks-yapili-31-ader-den-13456574/
165 M2,4+1,1,3,Boş,,,Boş,"4,850,000",https://www.emlakjet.com/ilan/cankaya-birlik-502-sokak-41-asansorlu-garajli-manzarali-daire-13450435/
105 M2,2+1,21 Ve Üzeri,2,Boş,,7500 TL,Boş,"1,585,000",https://www.emlakjet.com/ilan/levent-ten-sinan-caddesi-uzerinde-yildiz-baglanti-koprusu-yani-21-105m2-bagimsiz-salon-13459777/
110 M2,3+1,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,,9000 TL,Boş,"1,575,000",https://www.emlakjet.com/ilan/levent-ten-19-mayis-hastanesi-yakini-31-110m2-bagimsiz-salon-ara-kat-konumunda-balkonlu-13459801/
149 M2,3+1,21 Ve Üzeri,9,Kiracı Oturuyor,,,Boş,"4,390,000",https://www.emlakjet.com/ilan/yasamkent-girisi-inan-sitesinde-1-sinif-yapili-7-kat-31-daire-13450594/
220 M2,4+1,0 (Yeni),4,Boş,,,Boş,"7,250,000",https://www.emlakjet.com/ilan/bahcelievler-sifir-kose-binada-anitkabir-manzarali-luks-dublex-13437034/
110 M2,3+1,16-20,2,Boş,,8000 TL,Boş,"1,235,000",https://www.emlakjet.com/ilan/levent-ten-ilker-1-cadde-sinan-caddesi-yakini-31-110m2-balkonlu-bahce-cikisli-13459859/
85 M2,1.5+1,16-20,3,Kiracı Oturuyor,,,Boş,"1,090,000",https://www.emlakjet.com/ilan/yilmazer-den-vedat-dalokay-cadde-uzeri-4000tl-kiracili-acil-13437734/
175 M2,4+1,11-15,5,Boş,,,,"3,000,000",https://www.emlakjet.com/ilan/dikmen-caddesi-yakini-full-yapili-41-firsati-13437024/
590 M2,5+2,0 (Yeni),3,Boş,,,Boş,"13,990,000",https://www.emlakjet.com/ilan/cayyolu-mutlukent-mavi-ladin-villalari-satilik-13437807/
50 M2,1+1,0 (Yeni),3,Boş,,,Boş,"1,850,000",https://www.emlakjet.com/ilan/levent-ten-sifir-binada-kirkkonaklar-semsettin-gunaltay-caddesi-yakini-11-amerikan-mutfakli-daire-13457959/
176 M2,4+1,4,24,Mülk Sahibi Oturuyor,,,,"13,900,000",https://www.emlakjet.com/ilan/cepa-evleri-incek-bahce-kati-41-satilik-13437812/
135 M2,3+1,21 Ve Üzeri,4,Boş,,,,"3,325,000",https://www.emlakjet.com/ilan/konutkent-site-icerisinde-satilik-ara-kat-31-daire-13437950/
65 M2,1+1,5-10,3,Kiracı Oturuyor,,,Eşyalı,"2,490,000",https://www.emlakjet.com/ilan/hilal-mah-sik-11-bahce-kullanimli-esyali-satilik-13438268/
60 M2,1+1,21 Ve Üzeri,5,Kiracı Oturuyor,,,,"1,650,000",https://www.emlakjet.com/ilan/kizilay-sumer1-sokakta-satilik-11-daire-13437810/
325 M2,6+2,16-20,4,Mülk Sahibi Oturuyor,,,,"4,250,000",https://www.emlakjet.com/ilan/birlik-mah-471-sokakta-emsalsiz-m2-satilik-62-ters-dubleks-13438248/
100 M2,3+1,21 Ve Üzeri,11,Boş,,,Boş,"3,400,000",https://www.emlakjet.com/ilan/cigdem-mah-odtu-orman-manzarali-satilik-31-13438270/
75 M2,2+1,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,,Boş,"3,250,000",https://www.emlakjet.com/ilan/emekte-satilik-8-cadde-uzerinde-on-cephe-giris-21-aderde-13446033/
125 M2,3+1,5-10,4,Boş,,8000 TL,Boş,"1,890,000",https://www.emlakjet.com/ilan/kursat-tan-mursel-uluc-ta-sifir-daire-ara-katta-onu-acik-31-13446722/
128 M2,2+1,2,10,Kiracı Oturuyor,,,Boş,"8,250,000",https://www.emlakjet.com/ilan/ergin-arik-avend-beytepe-projesinde-satilik-21-kose-daire-13446950/
155 M2,3+1,21 Ve Üzeri,2,Boş,,,,"3,850,000",https://www.emlakjet.com/ilan/cologlundan-dikmen-caddesinde-ara-katta-31-2-banyolu-super-lux-kombili-kapali-garajli-13447098/
105 M2,2+1,21 Ve Üzeri,3,Kiracı Oturuyor,,12500 TL,Boş,"1,750,000",https://www.emlakjet.com/ilan/levent-ten-sokullu-caddesi-yakini-21-105-m2-amerikan-mutfakli-balkonlu-full-yapili-13447343/
180 M2,4+1,0 (Yeni),3,Boş,,,,"6,850,000",https://www.emlakjet.com/ilan/sbell-den-emek-te-sifir-binada-on-cephede-41-cift-terasli-dubleks-13438500/
145 M2,3+1,21 Ve Üzeri,9,Mülk Sahibi Oturuyor,,15000 TL,Boş,"4,000,000",https://www.emlakjet.com/ilan/vera-dan-site-icinde-31-ara-katta-daire-13447558/
120 M2,3+1,21 Ve Üzeri,4,Boş,,,Eşyalı,"5,600,000",https://www.emlakjet.com/ilan/bahcelievlerde-3l-on-katta-lux-asansorlu-k-garajli-bos-13447629/
90 M2,1+1,21 Ve Üzeri,3,Boş,,6000 TL,Boş,"1,229,000",https://www.emlakjet.com/ilan/levent-ten-dikmen-caddesi-uzerinde-esyali-11-90m2-balkonlu-y-giris-ara-kat-konumunda-kombili-13447401/
200 M2,4+1,21 Ve Üzeri,4,Boş,,,Boş,"4,400,000",https://www.emlakjet.com/ilan/sancak-mah-530-sok-ideal-lokasyon-da-katta-41-180m2-13448474/
180 M2,4+1,21 Ve Üzeri,11,Boş,,,Boş,"5,950,000",https://www.emlakjet.com/ilan/gaziosmanpasa-elit-evler-sitesinde-full-yapili-41-katta-13448477/
330 M2,5+2,11-15,3,Boş,,,,"3,650,000",https://www.emlakjet.com/ilan/sahin-gayrimenkulden-muhtesem-52-dubleks-satiliktir-13447805/
110 M2,3+1,21 Ve Üzeri,3,Kiracı Oturuyor,,11 TL,Boş,"1,985,000",https://www.emlakjet.com/ilan/cankaya-ankara-seyranbaglari-mh-satilik-ara-kat-daire-13448531/
120 M2,3+1,21 Ve Üzeri,4,Boş,,20000 TL,,"4,100,000",https://www.emlakjet.com/ilan/bahcelievlerde-asansorlu-31-katta-on-bos-guney-super-lux-13449953/
180 M2,4+1,0 (Yeni),3,Boş,,,,"5,950,000",https://www.emlakjet.com/ilan/sbell-den-emek-te-sifir-binada-on-cephe-41-terasli-dubleks-13438498/
125 M2,3+1,21 Ve Üzeri,2,Boş,,13000 TL,Boş,"2,549,000",https://www.emlakjet.com/ilan/akarsu-dan-super-luks-yapili-31kilerli-sinan-cd-uzerinde-genis-cam-balkonlu-merkezi-konumda-13450307/
145 M2,3+1,21 Ve Üzeri,3,Boş,,15000 TL,,"3,275,000",https://www.emlakjet.com/ilan/akarsu-dan-super-luks-yapili-sokullu-cadde-uzeri-31g-odali-park-manzarali-130m2-13450319/
110 M2,3+1,21 Ve Üzeri,3,Boş,,15000 TL,,"6,000,000,000",https://www.emlakjet.com/ilan/bahcelievler-de-katta-on-31-kombili-balkonlu-otoparkli-daire-13446398/
96 M2,2+1,11-15,14,Mülk Sahibi Oturuyor,,,,"9,000,000",https://www.emlakjet.com/ilan/zirvekent-sitesi-mimoza-bloklari-21-13446723/
260 M2,5+1,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,,,Boş,"3,880,000",https://www.emlakjet.com/ilan/cankaya-birlik-mah-podgoritsa-caddesinde-51-cati-dubleksi-daire-13450458/
95 M2,3+1,1,3,Boş,,,Boş,"4,350,000",https://www.emlakjet.com/ilan/cankaya-bahcelievler-2-cadde-yeni-binada-31-bahce-kati-daire-13450461/
210 M2,4+1,11-15,13,Mülk Sahibi Oturuyor,,,Boş,"8,250,000",https://www.emlakjet.com/ilan/firsat-cayyolu-royal-city-de-2-kat-oturuma-hazir-41-daire-13450596/
140 M2,3+1,11-15,4,Boş,,10000 TL,Boş,"2,749,000",https://www.emlakjet.com/ilan/akarsu-dan-cankaya-dikmen-de-31-kombili-katta-ovecler-vadisi-pazar-yeri-yakini-merkezi-konumda-13450285/
130 M2,3+1,5-10,3,Kiracı Oturuyor,,12000 TL,Boş,"2,450,000",https://www.emlakjet.com/ilan/asyapidan-cevizliderede-31-130-m2-arakat-2-banyolu-lux-kombili-13436385/
125 M2,3+1,21 Ve Üzeri,5,Boş,,,Boş,"3,450,000",https://www.emlakjet.com/ilan/cayyolu-konutkent-oyak-3-sitesi-satilik-31-ara-kat-yapili-daire-13450599/
100 M2,2+1,21 Ve Üzeri,3,Boş,,,Boş,"1,279,000",https://www.emlakjet.com/ilan/turkuaz-emlak-cebeci-askeri-sube-yani-21-kacirilmayacak-firsat-13448665/
205 M2,4+1,5-10,5,Mülk Sahibi Oturuyor,,,Eşyalı,"5,350,000",https://www.emlakjet.com/ilan/yesillikler-arasinda-satilik-41-super-luks-daire-13437261/
545 M2,7+1,0 (Yeni),3,Boş,,,Boş,"24,000,000",https://www.emlakjet.com/ilan/alacaatli-nin-en-degerli-lokasyonunda-satilik-villa-13438269/
110 M2,2+1,16-20,5,Boş,,,Boş,"2,100,000",https://www.emlakjet.com/ilan/cankaya-kirkkonaklarda-21-giris-kat-kose-binada-satilik-13450456/
120 M2,2+1,0 (Yeni),4,Boş,,,Boş,"5,500,000",https://www.emlakjet.com/ilan/ankara-cankaya-ayranci-menevis-sk-satilik-sifir-luks-21-daire-13448545/
78 M2,2+1,16-20,3,Mülk Sahibi Oturuyor,,10000 TL,Boş,"1,650,000",https://www.emlakjet.com/ilan/kirkkonaklar-da-cadde-uzeri-21-yapili-aydinlik-daire-13448040/
380 M2,5+2,0 (Yeni),4,Boş,,,Boş,"16,500,000",https://www.emlakjet.com/ilan/cayyolu-ahmet-taner-kislali-anahtar-teslim-super-luks-villa-13439741/
115 M2,2+1,4,22,Boş,,,,"5,800,000",https://www.emlakjet.com/ilan/yasamkentin-en-gozde-sitesi-anka-cadde-sitesi-buyuk-tip-21-satilik-13437808/
200 M2,4+1,16-20,4,Boş,,,,"4,700,000",https://www.emlakjet.com/ilan/dialog-fanus-tan-cankaya-kahire-caddesinde-satilik-daire-13440812/
110 M2,3+1,21 Ve Üzeri,4,Kiracı Oturuyor,,,Boş,"2,100,000",https://www.emlakjet.com/ilan/cadde-investten-cebecide-manzarali-31-satilik-daire-13441467/
70 M2,1+1,5-10,5,Kiracı Oturuyor,,,Eşyalı,"2,550,000",https://www.emlakjet.com/ilan/cankaya-hilal-mahallesi-nde-11-esyali-satilik-rezidans-daire-13439739/
95 M2,2+1,5-10,4,Mülk Sahibi Oturuyor,,,Boş,"2,700,000",https://www.emlakjet.com/ilan/cankaya-kirkkonaklar-yeni-binada-bahce-cikisli-21-13439742/
200 M2,5+1,16-20,3,Mülk Sahibi Oturuyor,,,Boş,"2,950,000",https://www.emlakjet.com/ilan/ovecler-de-ev-ve-ofis-kulanimina-uygun-yapili-dubleks-51-daire-13441469/
120 M2,3+1,11-15,4,Kiracı Oturuyor,,,Boş,"1,300,000",https://www.emlakjet.com/ilan/ovecler-de-lizbon-cadde-yakini-kot-1-yuksek-giris-13442431/
140 M2,3+1,21 Ve Üzeri,4,Boş,,,,"3,000,000",https://www.emlakjet.com/ilan/cevizlidere-caddesi-yakininda-ara-katta-satilik-31-daire-13437948/
90 M2,2+1,0 (Yeni),5,Boş,,,Boş,"3,490,000",https://www.emlakjet.com/ilan/ankara-kucukesat-akyuz-sokak-21-sifir-daire-13442999/
95 M2,3+1,21 Ve Üzeri,7,Kiracı Oturuyor,,,Boş,"1,480,000",https://www.emlakjet.com/ilan/cadde-invest-den-kelepir-asansorlu-cebeci-de-31-satilik-daire-13441470/
270 M2,5+1,16-20,3,Mülk Sahibi Oturuyor,,,,"7,250,000",https://www.emlakjet.com/ilan/sbell-den-mebusevlerin-de-on-cephede-3-banyolu-terasli-genis-51-dubleks-13438494/
100 M2,3+1,21 Ve Üzeri,2,Kiracı Oturuyor,,,,"1,550,000",https://www.emlakjet.com/ilan/goraldan-31-kapali-pazar-yani-1071-malazgirt-bulvari-yakini-kelepir-daire-13443186/
125 M2,3+1,21 Ve Üzeri,3,Kiracı Oturuyor,,,,"2,350,000",https://www.emlakjet.com/ilan/goraldan-31-guney-bati-cepheli-park-manzarali-nimet-caddesinde-kupon-daire-13443187/
170 M2,3+1,5-10,10,Mülk Sahibi Oturuyor,,,Eşyalı,"13,600,000",https://www.emlakjet.com/ilan/ege-flora-konutlarinda-satilik-31-13442512/
1.285 M2,9+ Oda,5-10,2,Mülk Sahibi Oturuyor,,,Eşyalı,"36,000,000",https://www.emlakjet.com/ilan/yasamkentte-16-4-satilik-malikane-13442496/
100 M2,2+1,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,8000 TL,Boş,"1,600,000",https://www.emlakjet.com/ilan/levent-ten-ovecler-vadisi-yakini-21-100-m2-giris-kat-ters-dubleks-balkonlu-13443420/
120 M2,3+1,16-20,10,Boş,,15000 TL,Boş,"2,645,000",https://www.emlakjet.com/ilan/levent-ten-turtas-sitesinde-31-120m2-ankara-manzarali-ara-katta-full-yapili-13443656/
135 M2,3+1,5-10,4,Mülk Sahibi Oturuyor,,15000 TL,Eşyalı,"3,100,000",https://www.emlakjet.com/ilan/levent-ten-yeni-binada-esyalariyla-beraber-satilik-31-135m2-ara-katta-asansorlu-kapali-garajli-13443808/
110 M2,3+1,0 (Yeni),3,Boş,,,,"3,400,000",https://www.emlakjet.com/ilan/sbell-den-bahcelievler-de-sifir-binada-on-cephe-31-bahce-kati-13438493/
100 M2,2+1,16-20,3,Boş,,10000 TL,Boş,"2,100,000",https://www.emlakjet.com/ilan/levent-ten-lizbon-caddesi-yakini-21-100m2-bagimsiz-salon-ara-katta-yapili-daire-13445419/
